Customer_ID,Age,Product_Category,Purchase_Amount
8578,18,Beauty,221
8384,29,Sports,175
5795,48,Books,494
8219,30,Sports,136
6551,46,Clothing,313
5234,43,Sports,662
8916,42,Books,528
7258,40,Electronics,50
6783,25,Clothing,644
6575,28,Sports,479
7406,30,Books,662
7339,56,Electronics,798
6052,20,Clothing,926
7210,22,Home,419
5955,50,Sports,678
5366,57,Books,438
6169,46,Beauty,479
6744,30,Clothing,301
7411,21,Beauty,76
5758,36,Books,842
6861,38,Beauty,95
5715,37,Home,992
6883,19,Books,133
7287,51,Sports,932
6624,28,Sports,500
8476,36,Beauty,464
7813,50,Electronics,717
5456,47,Sports,453
7670,41,Beauty,609
5987,22,Electronics,516
6314,40,Sports,93
6406,40,Clothing,82
6798,28,Sports,972
7997,38,Clothing,333
7909,23,Clothing,384
6734,39,Electronics,781
7554,51,Sports,859
8449,35,Electronics,772
8564,38,Books,615
8244,33,Electronics,469
7806,26,Beauty,495
5030,35,Home,563
5712,24,Books,655
5463,34,Sports,367
5710,49,Books,638
8981,43,Clothing,167
5388,18,Clothing,223
7323,21,Sports,573
7455,21,Electronics,397
6801,40,Clothing,399
7763,33,Books,59
6131,49,Sports,832
7012,29,Beauty,609
8859,52,Electronics,116
6116,52,Home,353
7820,32,Books,239
5011,59,Clothing,694
6774,44,Electronics,756
5281,21,Beauty,599
5936,41,Books,91
6758,40,Home,539
8588,26,Home,888
7380,55,Electronics,990
7733,19,Sports,337
7584,28,Home,757
7195,57,Books,647
6750,58,Clothing,459
8292,52,Electronics,306
7473,51,Clothing,602
8775,33,Home,399
8888,34,Electronics,632
5264,39,Books,588
7637,47,Sports,950
7036,39,Sports,321
8381,55,Home,357
8970,19,Beauty,834
8909,32,Electronics,399
6602,18,Electronics,531
7320,20,Home,440
5233,27,Books,72
6488,49,Clothing,726
6204,27,Books,301
6044,43,Home,54
7324,25,Books,690
8217,50,Electronics,836
8264,31,Electronics,241
7328,48,Clothing,245
8596,19,Clothing,266
7563,51,Books,759
6675,34,Sports,783
8513,37,Home,734
6161,24,Electronics,344
7188,33,Electronics,422
6411,18,Home,171
8920,28,Beauty,363
5520,19,Clothing,300
5056,34,Sports,62
8448,50,Books,242
8612,26,Electronics,755
5745,18,Sports,683
5607,55,Beauty,844
7483,48,Electronics,626
7781,56,Sports,546
6153,33,Sports,573
8775,29,Sports,550
6402,50,Beauty,418
8453,32,Sports,956
8918,51,Home,478
6589,34,Home,841
7639,42,Electronics,324
6378,19,Books,490
6453,51,Electronics,430
6577,41,Beauty,414
8285,37,Books,260
7259,29,Electronics,305
5382,38,Clothing,383
8905,44,Clothing,805
5827,44,Clothing,451
6732,49,Books,352
6989,38,Clothing,299
5291,47,Beauty,835
6864,36,Beauty,901
8016,27,Beauty,754
8157,20,Electronics,298
6318,37,Sports,79
6317,40,Sports,79
7643,23,Electronics,484
8972,44,Beauty,192
7470,34,Electronics,349
6562,19,Sports,925
5521,32,Books,64
6671,35,Clothing,825
8429,25,Sports,141
7369,23,Beauty,493
5978,35,Electronics,990
5114,50,Books,491
6842,25,Beauty,515
6942,21,Clothing,586
5612,41,Home,620
6041,50,Books,238
7159,43,Electronics,292
6051,34,Books,547
6059,59,Electronics,113
5683,37,Clothing,76
6007,45,Books,221
5514,49,Beauty,589
6489,30,Electronics,570
8524,53,Clothing,126
7095,26,Beauty,402
7325,18,Home,348
8271,59,Home,546
6396,35,Clothing,235
6873,27,Clothing,876
7962,53,Beauty,247
8725,48,Books,376
8348,50,Electronics,133
5491,56,Sports,129
6448,28,Electronics,137
6741,52,Electronics,828
7380,36,Sports,327
8333,54,Clothing,714
6940,39,Sports,603
8022,49,Clothing,199
8600,18,Home,497
5349,52,Sports,966
5985,34,Sports,846
7955,57,Beauty,104
6935,30,Books,410
5678,25,Beauty,524
7772,37,Sports,174
8132,52,Clothing,405
8389,22,Books,452
7785,31,Clothing,810
8331,38,Clothing,812
5236,19,Home,784
8031,30,Home,136
5543,38,Electronics,760
5830,36,Sports,836
8236,37,Clothing,304
8718,30,Electronics,978
6505,43,Books,431
6553,56,Beauty,681
5672,40,Sports,926
8332,38,Books,395
8778,34,Beauty,88
